index,Name,PlayerID,ERA,IP,CSW%
566,Jhon Romero,664584,3.60,5.0,22.4
567,Tommy Romero,676720,9.82,3.2,24.0
568,Sergio Romo,489265,8.16,14.1,28.7
569,Angel Rondon,667373,0.00,5.0,17.0
570,Kenny Rosenberg,670046,4.22,10.2,23.9
571,Michael Rucker,621074,5.49,19.2,20.9
573,Jose Ruiz,614179,4.25,29.2,24.6
574,Joe Ryan,657746,3.20,59.0,27.6
575,Hyun Jin Ryu,547943,5.67,27.0,21.6
576,Adrian Sampson,592716,1.69,10.2,23.1
577,Aaron Sanchez,592717,8.33,31.1,26.1
578,Cristopher Sanchez,650911,4.60,15.2,28.3
579,Miguel Sanchez,667376,4.05,13.1,34.1
580,Phoenix Sanders,676637,1.80,10.0,25.0
581,Nick Sandlin,680704,2.89,18.2,23.7
582,Patrick Sandoval,663776,2.63,65.0,21.8
583,Cole Sands,663485,8.82,16.1,24.7
584,Reiver Sanmartin,665665,10.27,23.2,26.2
585,Dennis Santana,642701,1.53,29.1,22.8
586,Tony Santillan,663574,5.49,19.2,23.6
587,Gregory Santos,666619,0.00,1.2,27.3
588,Tayler Saucedo,642048,13.50,2.2,17.4
589,Hirokazu Sawamura,617228,2.84,25.1,21.5
590,Josh Sborz,622250,8.71,10.1,29.5
591,Max Scherzer,453286,2.54,49.2,28.1
592,Clarke Schmidt,657376,3.00,24.0,23.0
593,John Schreiber,670167,0.73,24.2,29.2
594,Max Schrock,621011,45.00,1.0,0.0
595,Frank Schwindel,643524,18.00,3.0,0.0
596,Tanner Scott,656945,4.34,29.0,25.6
597,Connor Seabold,657756,13.50,4.2,29.8
599,JP Sears,676664,0.00,12.2,28.4
600,Cody Sedlock,642060,15.00,3.0,19.4
601,Sam Selman,572125,4.50,8.0,29.7
602,Antonio Senzatela,622608,4.66,58.0,21.9
603,Anderson Severino,644429,6.14,7.1,31.4
604,Luis Severino,622663,3.35,78.0,25.9
605,Paul Sewald,623149,2.83,28.2,29.1
606,Bryan Shaw,543766,5.11,24.2,23.8
607,Justus Sheffield,656954,0.00,6.2,23.1
608,Chasen Shreve,592741,6.58,26.0,31.9
609,Chase Silseth,681217,5.23,20.2,30.9
610,Andrelton Simmons,592743,45.00,1.0,0.0
611,Lucas Sims,608371,9.45,6.2,20.0
612,Brady Singer,663903,4.33,54.0,29.1
613,Tarik Skubal,669373,3.75,84.0,27.2
614,Ethan Small,663629,6.75,2.2,30.6
615,Devin Smeltzer,656970,2.86,50.1,24.4
616,Caleb Smith,592761,5.11,37.0,24.4
617,Chad Smith,663385,18.90,3.1,22.2
618,Drew Smith,622098,2.48,32.2,26.4
619,Joe Smith,501925,2.78,22.2,23.1
620,Will Smith,519293,3.30,30.0,21.1
621,Drew Smyly,592767,3.80,42.2,24.5
622,Kirby Snead,669912,7.36,14.2,23.7
623,Blake Snell,605483,5.60,35.1,25.5
625,Collin Snider,676092,7.71,21.0,23.6
626,Nicklaus Snyder,676766,18.00,1.0,14.3
627,Jared Solomon,676660,12.27,7.1,21.9
628,Gregory Soto,642397,2.57,28.0,28.0
629,Bennett Sousa,656986,8.41,20.1,23.1
630,Gabe Speier,642100,2.33,19.1,21.7
631,Jeffrey Springs,605488,2.25,60.0,28.6
632,Locke St. John,657766,13.50,2.0,25.0
633,Craig Stammen,489334,3.18,28.1,28.4
634,Ryne Stanek,592773,0.69,26.0,26.4
635,Cody Stashak,664054,3.86,16.1,27.0
636,Josh Staumont,622251,3.81,26.0,26.5
637,Drew Steckenrider,608716,5.65,14.1,19.9
638,Justin Steele,657006,4.39,69.2,26.0
639,Trevor Stephan,663986,3.14,28.2,27.5
640,Jackson Stephens,623451,3.16,25.2,25.0
641,Robert Stephenson,596112,5.64,22.1,15.4
642,Eric Stout,657770,4.91,3.2,29.2
643,Matt Strahm,621381,3.80,23.2,30.2
644,Dee Strange-Gordon,543829,27.00,1.0,0.0
645,Stephen Strasburg,544931,13.50,4.2,28.6
646,Chris Stratton,608717,5.29,32.1,31.2
647,Hunter Strickland,519326,4.91,25.2,20.3
648,Spencer Strider,675911,3.02,53.2,27.2
649,Ross Stripling,548389,3.12,57.2,28.4
651,Marcus Stroman,573186,5.32,47.1,29.1
652,Peter Strzelecki,657265,4.00,9.0,33.7
653,Garrett Stubbs,596117,9.00,1.0,0.0
654,Jose Suarez,660761,4.36,33.0,26.5
655,Ranger Suarez,624133,4.33,79.0,25.3
656,Robert Suarez,663158,3.09,23.1,28.0
657,Beau Sulser,676641,4.26,12.2,29.5
658,Cole Sulser,642121,3.86,23.1,31.7
659,Brent Suter,608718,4.45,30.1,21.7
660,Erik Swanson,657024,0.89,20.1,31.8
661,Matt Swarmer,664161,5.59,29.0,19.4
662,Noah Syndergaard,592789,3.86,65.1,27.0
663,Thomas Szapucki,663378,60.75,1.1,14.3
664,Jameson Taillon,592791,3.32,84.0,24.8
665,Domingo Tapia,593619,14.73,3.2,17.9
666,Dillon Tate,622253,1.96,36.2,30.5
667,Blake Taylor,642130,3.94,16.0,20.4
668,Ryan Tepera,572193,3.69,31.2,26.7
669,Jackson Tetreault,676194,4.24,17.0,23.3
670,Caleb Thielbar,573204,5.46,28.0,29.6
671,Keegan Thompson,624522,3.34,67.1,28.5
672,Mason Thompson,666168,0.00,1.0,0.0
673,Ryan Thompson,657044,5.33,25.1,25.9
674,Zach Thompson,605507,4.47,54.1,26.1
675,Zack Thompson,668868,3.31,16.1,20.9
677,Tyler Thornburg,592804,3.32,19.0,19.9
678,Trent Thornton,663423,3.82,33.0,27.9
679,Jesus Tinoco,622786,4.76,5.2,15.0
680,Blake Treinen,595014,3.00,3.0,29.0
681,Lou Trivino,642152,7.17,21.1,25.7
682,Tanner Tully,668684,7.20,5.0,19.3
683,Kyle Tyler,667725,0.00,4.0,21.4
684,Edwin Uceta,670955,5.00,9.0,23.3
685,Duane Underwood,621249,4.24,17.0,26.7
686,Jose Urena,570632,3.52,7.2,27.8
687,Julio Urias,628711,2.64,81.2,28.1
688,Jose Urquidy,664353,4.36,74.1,23.3
689,Cesar Valdez,491624,9.00,1.0,0.0
690,Framber Valdez,664285,2.65,95.0,26.2
691,Phillips Valdez,570488,5.40,13.1,36.2
692,Josh VanMeter,642165,45.00,1.0,0.0
693,Andrew Vasquez,607755,8.10,6.2,37.5
694,Vince Velasquez,592826,4.47,44.1,25.8
695,Drew VerHagen,572403,5.85,20.0,22.2
696,Justin Verlander,434378,2.03,97.1,21.6
697,Alex Vesia,681911,3.28,24.2,30.9
698,Nick Vespi,663989,5.40,11.2,30.5
699,Will Vest,676684,3.71,26.2,34.5
700,Cam Vieaux,664944,2.25,4.0,19.4
701,Arodys Vizcaino,527055,6.35,5.2,11.8
703,Austin Voth,608723,7.34,30.2,25.6
704,Michael Wacha,608379,2.69,70.1,20.1
705,Adam Wainwright,425794,3.07,91.0,26.9
706,Taijuan Walker,592836,2.72,72.2,25.3
707,Jake Walsh,673904,13.50,2.2,22.5
708,Donovan Walton,622268,27.00,1.0,0.0
709,Andrew Wantz,681806,3.18,17.0,25.5
710,Art Warren,605521,6.59,27.1,24.7
711,Austin Warren,681810,3.97,11.1,23.4
712,Spenser Watkins,657093,5.14,35.0,24.4
713,Ryan Weathers,677960,9.82,3.2,17.8
714,Luke Weaver,596133,14.04,8.1,22.9
715,Logan Webb,657277,3.04,91.2,35.4
716,Ryan Weber,543901,2.45,3.2,22.2
717,Jordan Weems,607179,9.95,6.1,17.5
718,Alexander Wells,649144,4.91,3.2,35.7
719,Tyler Wells,669330,3.23,69.2,23.7
720,J. B. Wendelken,605525,4.45,28.1,23.1
721,Joey Wentz,666214,8.10,6.2,27.0
722,Zack Wheeler,554430,2.89,81.0,33.6
723,Mitch White,669952,3.93,34.1,22.6
724,Kodi Whitley,676831,5.68,12.2,23.1
725,Garrett Whitlock,676477,3.51,48.2,28.7
726,Rowan Wick,592858,5.23,31.0,27.2
727,Taylor Widener,642203,9.64,4.2,23.2
729,Devin Williams,642207,2.12,29.2,33.5
730,Trevor Williams,592866,3.64,42.0,29.0
731,Bryse Wilson,669060,8.29,33.2,22.1
732,Justin Wilson,458677,2.45,3.2,39.3
733,Steven Wilson,621051,3.62,27.1,27.7
734,Josh Winckowski,670174,3.60,20.0,28.5
735,Josh Winder,680739,3.06,35.1,19.7
736,Matt Wisler,605538,2.75,36.0,19.2
737,Nick Wittgren,621295,5.90,29.0,26.8
738,Alex Wood,622072,5.03,73.1,30.4
739,Jake Woodford,663765,3.05,20.2,23.4
740,Brandon Woodruff,605540,4.44,48.2,27.3
741,William Woods,682016,0.00,2.0,19.0
742,Kyle Wright,657140,3.03,92.0,25.4
743,Jimmy Yacabonis,642231,2.84,6.1,54.5
744,Miguel Yajure,664337,8.16,14.1,20.8
745,Ryan Yarbrough,642232,5.82,34.0,29.1
746,Huascar Ynoa,660623,13.50,6.2,19.2
747,Danny Young,277415,7.36,3.2,0.0
748,Aneurys Zabala,656008,0.00,0.2,0.0
749,Bruce Zimmermann,669145,5.94,66.2,18.9
